# SiO2 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the single-layer witnesses and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
2000,1.4635,0.000191,0.008
2010,1.4634,0.000193,0.008
2020,1.4632,0.000195,0.008
2030,1.463,0.000197,0.00795
2040,1.4628,0.000199,0.00795
2050,1.4626,0.000201,0.00795
2060,1.4624,0.000203,0.00795
2070,1.4622,0.000205,0.00795
2080,1.462,0.000207,0.00795
2090,1.4618,0.000209,0.0079
2100,1.4616,0.000211,0.0079
2110,1.4614,0.000213,0.0079
2120,1.4613,0.000215,0.0079
2130,1.4611,0.000217,0.0079
2140,1.4609,0.000219,0.0079
2150,1.4607,0.000221,0.0079
2160,1.4605,0.000223,0.00785
2170,1.4603,0.000225,0.00785
2180,1.4601,0.000227,0.00785
2190,1.4599,0.000229,0.00785
2200,1.4597,0.000231,0.00785
2210,1.4594,0.000233,0.00785
2220,1.4592,0.000235,0.00785
2230,1.459,0.000237,0.00785
2240,1.4588,0.000239,0.0078
2250,1.4586,0.000241,0.0078
2260,1.4584,0.000243,0.0078
2270,1.4582,0.000246,0.0078
2280,1.458,0.000248,0.0078
2290,1.4578,0.00025,0.0078
2300,1.4576,0.000252,0.00775
2310,1.4574,0.000254,0.00775
2320,1.4572,0.000256,0.00775
2330,1.457,0.000258,0.00775
2340,1.4568,0.00026,0.00775
2350,1.4566,0.000262,0.0077
2360,1.4563,0.000264,0.0077
2370,1.4561,0.000266,0.0077
2380,1.4559,0.000268,0.0077
2390,1.4557,0.00027,0.00765
2400,1.4555,0.000272,0.00765
2410,1.4553,0.000274,0.00765
2420,1.4551,0.000276,0.00765
2430,1.4549,0.000279,0.00765
2440,1.4547,0.000281,0.0076
2450,1.4544,0.000283,0.0076
2460,1.4542,0.000285,0.0076
2470,1.454,0.000287,0.0076
2480,1.4538,0.000289,0.00755
2490,1.4536,0.000291,0.0076
2500,1.4534,0.000293,0.0076
2510,1.4532,0.000295,0.0076
2520,1.4529,0.000297,0.00755
2530,1.4527,0.000299,0.00755
2540,1.4525,0.000301,0.00755
2550,1.4523,0.000304,0.00755
2560,1.4521,0.000306,0.00755
2570,1.4519,0.000308,0.0075
2580,1.4517,0.00031,0.0075
2590,1.4515,0.000312,0.0075
2600,1.4512,0.000314,0.0075
2610,1.451,0.000316,0.00745
2620,1.4508,0.000318,0.00745
2630,1.4506,0.00032,0.0075
2640,1.4504,0.000322,0.0075
2650,1.4502,0.000324,0.00745
2660,1.45,0.000327,0.00745
2670,1.4498,0.000329,0.00745
2680,1.4495,0.000331,0.00745
2690,1.4493,0.000333,0.0074
2700,1.4491,0.000335,0.0074
2710,1.4489,0.000337,0.0074
2720,1.4487,0.000339,0.0074
2730,1.4485,0.000341,0.0074
2740,1.4483,0.000343,0.00735
2750,1.4481,0.000345,0.00735
2760,1.4478,0.000348,0.00735
2770,1.4476,0.00035,0.00735
2780,1.4474,0.000352,0.0074
2790,1.4472,0.000354,0.00735
2800,1.447,0.000356,0.00735
2810,1.4468,0.000358,0.00735
2820,1.4466,0.00036,0.00735
2830,1.4464,0.000362,0.0073
2840,1.4462,0.000364,0.0073
2850,1.446,0.000366,0.0073
2860,1.4457,0.000369,0.0073
2870,1.4455,0.000371,0.0073
2880,1.4453,0.000373,0.0073
2890,1.4451,0.000375,0.00725
2900,1.4449,0.000377,0.00725
2910,1.4447,0.000379,0.00725
2920,1.4445,0.000381,0.00725
2930,1.4443,0.000383,0.00725
2940,1.4441,0.000385,0.0072
2950,1.4439,0.000387,0.0072
2960,1.4437,0.000389,0.0072
2970,1.4435,0.000392,0.0072
2980,1.4433,0.000394,0.0072
2990,1.4431,0.000396,0.0072
3000,1.4429,0.000398,0.0072
3010,1.4426,0.0004,0.00715
3020,1.4424,0.000402,0.00715
3030,1.4422,0.000404,0.00715
3040,1.442,0.000406,0.00715
3050,1.4418,0.000408,0.00715
3060,1.4416,0.00041,0.00715
3070,1.4414,0.000412,0.00715
3080,1.4412,0.000414,0.00715
3090,1.441,0.000417,0.0071
3100,1.4408,0.000419,0.0071
3110,1.4406,0.000421,0.0071
3120,1.4404,0.000423,0.0071
3130,1.4402,0.000425,0.0071
3140,1.44,0.000427,0.0071
3150,1.4398,0.000429,0.0071
3160,1.4396,0.000431,0.0071
3170,1.4394,0.000433,0.00705
3180,1.4392,0.000435,0.00705
3190,1.439,0.000437,0.00705
3200,1.4388,0.000439,0.007
3210,1.4386,0.000441,0.007
3220,1.4384,0.000443,0.007
3230,1.4382,0.000446,0.007
3240,1.438,0.000448,0.007
3250,1.4379,0.00045,0.007
3260,1.4377,0.000452,0.007
3270,1.4375,0.000454,0.007
3280,1.4373,0.000456,0.007
