# Nb2O5 deposited by plasma-assisted reactive magnetron sputtering on a Buhler Leybold Optics HELIOS 800, Institut Fresnel, March 2026 campaign. Optical constants determined from the relative transmittance of the reference single layers and published with Volet 1 (Optics Continuum). sigma_n is the half-width of the published uncertainty envelope. Beyond the last interference extremum, near 4840 nm, the index is no longer constrained by the fringe positions; see valid_range_nm in the study files. Never adjusted.
Wavelength_nm,n,k,sigma_n
1660,2.2329,7.57e-05,0.0052
1670,2.2325,7.68e-05,0.0052
1680,2.2321,7.79e-05,0.0052
1690,2.2318,7.91e-05,0.00515
1700,2.2314,8.03e-05,0.00515
1710,2.231,8.15e-05,0.00515
1720,2.2307,8.28e-05,0.00515
1730,2.2303,8.41e-05,0.0051
1740,2.2299,8.55e-05,0.0051
1750,2.2296,8.69e-05,0.0051
1760,2.2292,8.83e-05,0.0051
1770,2.2288,8.98e-05,0.00505
1780,2.2285,9.13e-05,0.00505
1790,2.2281,9.29e-05,0.00505
1800,2.2277,9.45e-05,0.00505
1810,2.2274,9.61e-05,0.005
1820,2.227,9.78e-05,0.005
1830,2.2267,9.96e-05,0.005
1840,2.2263,0.000101,0.005
1850,2.2259,0.000103,0.00495
1860,2.2256,0.000105,0.00495
1870,2.2252,0.000107,0.00495
1880,2.2249,0.000109,0.00495
1890,2.2245,0.000111,0.0049
1900,2.2241,0.000113,0.00495
1910,2.2238,0.000115,0.0049
1920,2.2234,0.000117,0.0049
1930,2.2231,0.000119,0.0049
1940,2.2227,0.000121,0.00485
1950,2.2224,0.000124,0.0049
1960,2.222,0.000126,0.00485
1970,2.2217,0.000128,0.0048
1980,2.2213,0.000131,0.00485
1990,2.221,0.000133,0.0048
2000,2.2207,0.000135,0.0048
2010,2.2203,0.000138,0.0048
2020,2.22,0.00014,0.0048
2030,2.2196,0.000143,0.0048
2040,2.2193,0.000145,0.0048
2050,2.219,0.000148,0.0048
2060,2.2186,0.000151,0.0048
2070,2.2183,0.000153,0.00475
2080,2.218,0.000156,0.00475
2090,2.2177,0.000159,0.0048
2100,2.2173,0.000162,0.00475
2110,2.217,0.000165,0.00475
2120,2.2167,0.000167,0.00475
2130,2.2164,0.00017,0.00475
2140,2.2161,0.000173,0.00475
2150,2.2158,0.000176,0.0047
2160,2.2155,0.000179,0.0047
2170,2.2152,0.000182,0.0047
2180,2.2149,0.000185,0.0047
2190,2.2146,0.000189,0.0047
2200,2.2143,0.000192,0.0047
2210,2.214,0.000195,0.0047
2220,2.2137,0.000198,0.0047
2230,2.2134,0.000201,0.0047
2240,2.2131,0.000205,0.0047
2250,2.2128,0.000208,0.0047
2260,2.2125,0.000211,0.0047
2270,2.2122,0.000215,0.00475
2280,2.2119,0.000218,0.00475
2290,2.2116,0.000222,0.00475
2300,2.2114,0.000225,0.0047
2310,2.2111,0.000229,0.0047
2320,2.2108,0.000232,0.00475
2330,2.2105,0.000236,0.00475
2340,2.2103,0.000239,0.00475
2350,2.21,0.000243,0.00475
2360,2.2097,0.000247,0.00475
2370,2.2095,0.00025,0.00475
2380,2.2092,0.000254,0.00475
2390,2.2089,0.000258,0.00475
2400,2.2087,0.000262,0.0048
2410,2.2084,0.000265,0.00475
2420,2.2082,0.000269,0.0048
2430,2.2079,0.000273,0.0048
2440,2.2077,0.000277,0.0048
2450,2.2074,0.000281,0.0048
2460,2.2072,0.000285,0.0048
2470,2.2069,0.000289,0.0048
2480,2.2067,0.000293,0.0048
2490,2.2064,0.000297,0.00485
2500,2.2062,0.0003,0.0048
2510,2.206,0.000305,0.00485
2520,2.2057,0.000309,0.00485
2530,2.2055,0.000313,0.0049
2540,2.2053,0.000317,0.00485
2550,2.205,0.000321,0.0049
2560,2.2048,0.000325,0.0049
2570,2.2046,0.000329,0.00485
2580,2.2043,0.000333,0.0049
2590,2.2041,0.000337,0.0049
2600,2.2039,0.000341,0.00495
2610,2.2036,0.000346,0.0049
2620,2.2034,0.00035,0.00495
2630,2.2032,0.000354,0.00495
2640,2.2029,0.000358,0.005
2650,2.2027,0.000363,0.00495
2660,2.2024,0.000367,0.005
2670,2.2022,0.000371,0.005
2680,2.202,0.000375,0.005
2690,2.2017,0.00038,0.005
2700,2.2015,0.000384,0.00505
2710,2.2012,0.000388,0.005
2720,2.201,0.000393,0.00505
2730,2.2007,0.000397,0.00505
2740,2.2005,0.000402,0.00505
2750,2.2002,0.000406,0.00505
2760,2.1999,0.00041,0.0051
2770,2.1997,0.000415,0.00505
2780,2.1994,0.000419,0.0051
2790,2.1992,0.000424,0.0051
2800,2.1989,0.000428,0.0051
2810,2.1986,0.000432,0.00515
2820,2.1983,0.000437,0.0051
2830,2.1981,0.000441,0.0051
2840,2.1978,0.000446,0.0051
2850,2.1975,0.00045,0.00515
2860,2.1972,0.000455,0.00515
2870,2.1969,0.000459,0.00515
2880,2.1966,0.000464,0.00515
2890,2.1963,0.000468,0.00515
2900,2.196,0.000473,0.00515
2910,2.1957,0.000477,0.00515
