# Sapphire, ordinary ray. I. H. Malitson, J. Opt. Soc. Am. 52, 1377 (1962). Tabulated here from the Sellmeier coefficients so that the deposit carries no substrate database. Substrate of the single-layer witnesses.
Wavelength_nm,n,k
3830,1.682432431,0
3840,1.682019649,0
3850,1.681605504,0
3860,1.681189991,0
3870,1.680773109,0
3880,1.680354855,0
3890,1.679935226,0
3900,1.679514218,0
3910,1.679091828,0
3920,1.678668055,0
3930,1.678242894,0
3940,1.677816343,0
3950,1.677388399,0
3960,1.676959058,0
3970,1.676528318,0
3980,1.676096176,0
3990,1.675662629,0
4000,1.675227673,0
4010,1.674791305,0
4020,1.674353523,0
4030,1.673914324,0
4040,1.673473703,0
4050,1.673031659,0
4060,1.672588188,0
4070,1.672143286,0
4080,1.671696951,0
4090,1.67124918,0
4100,1.670799969,0
4110,1.670349315,0
4120,1.669897214,0
4130,1.669443665,0
4140,1.668988663,0
4150,1.668532205,0
4160,1.668074288,0
4170,1.667614908,0
4180,1.667154063,0
4190,1.666691749,0
4200,1.666227962,0
4210,1.6657627,0
4220,1.665295959,0
4230,1.664827735,0
4240,1.664358026,0
4250,1.663886827,0
4260,1.663414136,0
4270,1.662939949,0
4280,1.662464263,0
4290,1.661987074,0
4300,1.661508378,0
4310,1.661028173,0
4320,1.660546454,0
4330,1.660063219,0
4340,1.659578463,0
4350,1.659092183,0
4360,1.658604376,0
4370,1.658115038,0
4380,1.657624165,0
4390,1.657131754,0
4400,1.656637802,0
4410,1.656142304,0
4420,1.655645256,0
4430,1.655146656,0
4440,1.6546465,0
4450,1.654144783,0
4460,1.653641503,0
4470,1.653136655,0
4480,1.652630236,0
4490,1.652122241,0
4500,1.651612668,0
4510,1.651101512,0
4520,1.650588769,0
4530,1.650074437,0
4540,1.64955851,0
4550,1.649040985,0
4560,1.648521858,0
4570,1.648001125,0
4580,1.647478783,0
4590,1.646954827,0
4600,1.646429253,0
4610,1.645902058,0
4620,1.645373237,0
4630,1.644842787,0
4640,1.644310703,0
4650,1.643776981,0
4660,1.643241618,0
4670,1.642704609,0
4680,1.64216595,0
4690,1.641625637,0
4700,1.641083666,0
4710,1.640540033,0
4720,1.639994733,0
4730,1.639447763,0
4740,1.638899118,0
4750,1.638348793,0
4760,1.637796786,0
4770,1.63724309,0
4780,1.636687703,0
4790,1.63613062,0
4800,1.635571836,0
4810,1.635011347,0
4820,1.634449149,0
4830,1.633885238,0
4840,1.633319608,0
4850,1.632752256,0
4860,1.632183177,0
4870,1.631612367,0
