# Nb2O5 deposited by PARMS on a Buhler Leybold Optics HELIOS H800, Institut Fresnel, March 2026 campaign. Determination exploiting reflectance and transmittance, as carried in the campaign workbooks. Tabulated over 1000-5200 nm only.
Wavelength_nm,n,k
3700,2.152254,0.000226378
3710,2.151733,0.00023127
3720,2.151207,0.000236277
3730,2.150678,0.000241389
3740,2.150144,0.000246619
3750,2.149606,0.000251961
3760,2.149077,0.000257295
3770,2.148533,0.000262857
3780,2.147986,0.000268524
3790,2.147437,0.000274294
3800,2.146886,0.000280167
3810,2.146333,0.000286138
3820,2.145779,0.000292215
3830,2.14521,0.00029853
3840,2.144652,0.000304819
3850,2.144078,0.000311367
3860,2.143514,0.000317899
3870,2.142934,0.000324708
3880,2.142362,0.000331512
3890,2.141786,0.000338456
3900,2.141192,0.000345714
3910,2.140606,0.000352969
3920,2.140016,0.00036038
3930,2.13942,0.000367949
3940,2.138822,0.000375658
3950,2.13822,0.000383523
3960,2.137615,0.000391525
3970,2.137008,0.000399672
3980,2.136398,0.00040795
3990,2.135787,0.00041636
4000,2.13516,0.000425095
4010,2.134544,0.000433786
4020,2.133912,0.000442831
4030,2.133276,0.000452031
4040,2.132651,0.000461209
4050,2.132007,0.000470769
4060,2.131358,0.000480531
4070,2.130718,0.000490279
4080,2.130058,0.000500453
4090,2.129408,0.000510613
4100,2.128752,0.000520984
4110,2.128091,0.00053157
4120,2.127411,0.000542582
4130,2.126742,0.000553558
4140,2.126071,0.000564715
4150,2.125396,0.000576055
4160,2.124703,0.000587838
4170,2.124024,0.000599531
4180,2.123327,0.00061168
4190,2.122627,0.000624029
4200,2.121924,0.000636581
4210,2.121216,0.000649364
4220,2.120504,0.00066238
4230,2.119786,0.000675649
4240,2.119078,0.000688888
4250,2.118348,0.000702709
4260,2.117612,0.000716797
4270,2.116885,0.00073087
4280,2.116153,0.000745209
4290,2.115399,0.000760147
4300,2.114657,0.000775008
4310,2.113894,0.000790473
4320,2.113144,0.000805826
4330,2.112374,0.000821786
4340,2.111602,0.000837967
4350,2.110843,0.000854041
4360,2.110064,0.000870715
4370,2.109282,0.00088765
4380,2.108479,0.000905232
4390,2.107687,0.000922757
4400,2.106889,0.000940607
4410,2.106084,0.000958789
4420,2.105272,0.000977344
4430,2.104454,0.000996244
4440,2.103645,0.001015107
4450,2.102812,0.001034765
4460,2.101972,0.001054767
4470,2.101145,0.00107469
4480,2.100293,0.001095409
4490,2.099438,0.001116424
4500,2.098597,0.001137311
4510,2.097734,0.001158942
4520,2.096867,0.001180899
4530,2.095978,0.00120366
4540,2.095103,0.001226265
4550,2.094224,0.001249205
4560,2.09332,0.001273029
4570,2.092428,0.001296779
4580,2.09153,0.001320927
4590,2.090623,0.001345529
4600,2.089687,0.001371176
4610,2.088762,0.001396746
4620,2.08785,0.001422219
4630,2.08691,0.001448721
4640,2.085962,0.001475692
4650,2.085008,0.001503085
4660,2.084048,0.001530906
4670,2.083083,0.001559129
4680,2.082113,0.00158776
4690,2.08114,0.001616744
4700,2.08014,0.001646797
4710,2.079158,0.001676589
4720,2.078148,0.001707479
4730,2.077153,0.001738186
4740,2.076129,0.001770055
4750,2.075097,0.001802476
4760,2.074077,0.0018348
4770,2.073047,0.001867674
4780,2.071985,0.00190192
4790,2.070935,0.001936033
4800,2.069876,0.001970725
4810,2.068807,0.00200604
4820,2.067731,0.002041879
4830,2.066648,0.002078249
4840,2.065557,0.002115156
4850,2.064439,0.002153326
4860,2.063338,0.00219118
4870,2.062208,0.002230367
4880,2.061073,0.002270013
4890,2.059955,0.002309394
4900,2.058805,0.002350197
4910,2.057647,0.002391595
4920,2.056479,0.002433677
4930,2.0553,0.002476498
4940,2.054133,0.002519154
4950,2.05293,0.002563474
4960,2.051739,0.00260767
4970,2.050512,0.00265354
4980,2.049299,0.002699192
4990,2.048051,0.00274652
5000,2.046819,0.002793526
5010,2.045581,0.002841139
5020,2.044307,0.002890447
5030,2.043028,0.002940304
5040,2.041769,0.002989697
5050,2.040476,0.00304074
5060,2.039147,0.003093588
5070,2.037837,0.003146019
5080,2.036516,0.003199225
5090,2.035184,0.003253215
5100,2.033838,0.003308109
5110,2.032479,0.003363922
5120,2.031104,0.003420667
5130,2.029715,0.003478417
5140,2.028341,0.00353584
5150,2.026924,0.003595395
5160,2.025526,0.003654552
5170,2.024085,0.003715837
5180,2.022635,0.003777888
5190,2.021174,0.003840709
5200,2.019738,0.003902835
