# Silicon. H. H. Li, J. Phys. Chem. Ref. Data 9, 561 (1980), crystalline silicon at 26 C, evaluated here from the formula rather than transcribed: n^2 = 11.6858 + 0.939816/L^2 + 8.10461e-3 * 1.1071^2 / (L^2 - 1.1071^2), L in micrometres. n(1.5 um) = 3.4804, n(2) = 3.4532, n(3) = 3.4339, n(4) = 3.4271. k = 0: silicon is transparent over this range. Tabulated from 1200 nm because the formula has a pole at 1107 nm; below 1200 nm it is not merely inaccurate but meaningless. Propagated, never adjusted.
Wavelength_nm,n,k
4615,3.424970274,0
4620,3.424956172,0
4625,3.424942116,0
4630,3.424928106,0
4635,3.42491414,0
4640,3.42490022,0
4645,3.424886345,0
4650,3.424872514,0
4655,3.424858728,0
4660,3.424844987,0
4665,3.424831289,0
4670,3.424817636,0
4675,3.424804026,0
4680,3.42479046,0
4685,3.424776937,0
4690,3.424763457,0
4695,3.424750021,0
4700,3.424736627,0
4705,3.424723276,0
4710,3.424709968,0
4715,3.424696701,0
4720,3.424683477,0
4725,3.424670295,0
4730,3.424657155,0
4735,3.424644056,0
4740,3.424630998,0
4745,3.424617982,0
4750,3.424605007,0
4755,3.424592073,0
4760,3.42457918,0
4765,3.424566327,0
4770,3.424553514,0
4775,3.424540742,0
4780,3.424528009,0
4785,3.424515317,0
4790,3.424502664,0
4795,3.424490051,0
4800,3.424477478,0
4805,3.424464943,0
4810,3.424452448,0
4815,3.424439991,0
4820,3.424427573,0
4825,3.424415194,0
4830,3.424402853,0
4835,3.424390551,0
4840,3.424378286,0
4845,3.424366059,0
4850,3.424353871,0
4855,3.42434172,0
4860,3.424329606,0
4865,3.42431753,0
4870,3.42430549,0
4875,3.424293488,0
4880,3.424281523,0
4885,3.424269594,0
4890,3.424257702,0
4895,3.424245847,0
4900,3.424234027,0
4905,3.424222244,0
4910,3.424210497,0
4915,3.424198785,0
4920,3.42418711,0
4925,3.424175469,0
4930,3.424163864,0
4935,3.424152295,0
4940,3.42414076,0
4945,3.424129261,0
4950,3.424117796,0
4955,3.424106366,0
4960,3.42409497,0
4965,3.424083609,0
4970,3.424072283,0
4975,3.42406099,0
4980,3.424049731,0
4985,3.424038506,0
4990,3.424027315,0
4995,3.424016157,0
5000,3.424005033,0
5005,3.423993942,0
5010,3.423982885,0
5015,3.42397186,0
5020,3.423960869,0
5025,3.42394991,0
5030,3.423938983,0
5035,3.42392809,0
