# SiO2, literature reference, NOT from this campaign. Optical constants of the universal dispersion model of D. Franta, D. Necas, I. Ohlidal and A. Giglia, Proc. SPIE 9890, 989014 (2016). Tabulated from the refractiveindex.info entry 'main/SiO2/Franta', 250-4848 nm. n(1500 nm) = 1.4449, that is 0.0256 below the value this campaign's single layers give, which is exactly the handicap the in situ test of Section 6 starts from. Used only as a starting point, never as a result. sigma_n is a flat placeholder of 0.01 and carries no published meaning.
Wavelength_nm,n,k,sigma_n
670.0,1.4562184690048248,2.116371358086452e-245,0.01
672.0,1.4561685883542135,7.525007104789571e-244,0.01
674.0,1.4561191267722615,1.3542004139046936e-241,0.01
676.0,1.456069981045562,6.318100016631477e-240,0.01
678.0,1.4560211746376923,2.2004262061836068e-238,0.01
680.0,1.455972691091251,2.055589572936818e-236,0.01
682.0,1.4559245721411267,1.2797780850324188e-234,0.01
684.0,1.4558767810869206,4.598273965709319e-233,0.01
686.0,1.4558292919410265,1.3774375717527396e-231,0.01
688.0,1.4557821302713114,1.5120434623268542e-229,0.01
690.0,1.4557353122185275,6.539806209974657e-228,0.01
692.0,1.4556887699126382,2.0162082592252003e-226,0.01
694.0,1.455642544595811,5.38648667886819e-225,0.01
696.0,1.4555966389252089,5.351759941753663e-223,0.01
698.0,1.4555510260202984,1.9802007549046908e-221,0.01
700.0,1.4555057103927809,5.495710175777098e-220,0.01
702.0,1.4554606530078067,1.3415940293697254e-218,0.01
704.0,1.4554159330950924,1.0216140411457904e-216,0.01
706.0,1.4553714865672078,3.6223979989537445e-215,0.01
708.0,1.4553273200921473,9.420250745542214e-214,0.01
710.0,1.4552834114003552,2.1423708342532256e-212,0.01
712.0,1.455239804924345,9.403161068885344e-211,0.01
714.0,1.455196465761983,3.894330222895704e-209,0.01
716.0,1.4551533836004245,1.0036692196923315e-207,0.01
718.0,1.455110563431229,2.1846091964873135e-206,0.01
720.0,1.455068012044502,4.331971156520637e-205,0.01
722.0,1.4550257230295434,2.1138742070063688e-203,0.01
724.0,1.4549836896665147,6.277617296496342e-202,0.01
726.0,1.4549418984651497,1.3817596615894222e-200,0.01
