# Seventeen-layer beam splitter for 45 degrees, run 260319-037, on silicon with the rear face ground. Reflectance at 45 degrees in s and p, in percent. EssentOptics PHOTON RT SN 38425, 220 um slit, 5 mm spot, stage 45 degrees, detector 90, 1000-4000 nm at a 5 nm pitch, 20 averages, the two polarizations run separately. The analysis band of the study is 1500-4000 nm, one and the same for every sample of the campaign.
Wavelength_nm,R_s_pct,R_p_pct
2395.01,96.66817854,87.41323218
2400.03,96.37168758,86.51572614
2405.03,95.91707877,85.55556455
2410.02,95.47642615,84.52613439
2414.97,94.86677804,83.49127491
2420.02,94.13777808,82.34454296
2425.04,93.34323711,81.29732871
2430.04,92.58978142,80.21983645
2435.04,91.94887589,79.27576692
2440.04,91.60041342,78.49189517
2445.05,91.52953463,77.90110745
2450.01,91.73819265,77.61166294
2455.01,92.15394681,77.46072615
2460,92.75892015,77.56265917
2465,93.42736845,77.85639031
2470.01,94.15315843,78.34454267
2475.03,94.79031061,79.00709958
2480.04,95.32911245,79.76011953
2485.06,95.82477955,80.62610696
2490.09,96.16519365,81.49876903
2494.89,96.44224708,82.35548225
2499.92,96.6893699,83.24678201
2504.95,96.92396332,84.03702689
2509.98,97.05351502,84.84809601
2515.01,97.2339109,85.47847616
2520.03,97.37900888,86.17849864
2525.05,97.50975712,86.84267686
2530.07,97.87859393,87.4942208
2535.08,98.0394788,88.01721535
2540.09,98.29596659,88.3839595
2545.09,98.51744041,88.61665001
2550.09,98.31908491,89.44303724
2555.08,98.47973127,89.60937761
2560.06,98.51514299,89.46475355
2565.03,98.34107846,89.85033284
2570.01,98.51717741,90.2909218
2574.97,98.44473226,90.39364796
2579.93,98.75692911,90.57166708
2584.89,98.55502377,90.22775105
2590.07,98.55444239,90.19738649
2595.02,98.62920352,90.29829201
2599.98,98.46678113,90.56292297
2604.93,98.48276435,90.48463996
2610.11,98.63385417,90.31522333
2615.07,98.68220785,90.34133789
2620.03,98.6534218,89.64300244
2625,98.67449521,89.55498633
2629.97,98.56856589,89.29415014
2634.95,98.83089895,89.36993271
2639.93,98.63740457,89.21661059
2644.91,98.59216644,88.92112416
2649.91,98.66521426,88.8184144
2654.9,98.88094295,88.0990906
2659.91,98.56002369,88.0787543
2664.91,98.74761742,87.32230572
2669.93,98.53401942,86.4403906
2674.94,98.84301015,86.17121453
2679.95,98.51993809,85.03701525
2684.97,98.53460259,84.43763025
2689.99,98.46093071,84.09544687
2695,98.35898884,82.86947021
2700.01,98.3198593,81.51050299
2705.02,98.19082045,80.54070935
2710.03,97.87952492,79.38360765
2715.03,97.79682981,78.41202342
2720.02,97.81725733,76.76690138
2725.01,97.76913485,75.30079689
2730,97.61207924,74.05974061
2734.97,97.24978842,72.67447028
2739.94,97.53208664,71.20521694
2744.91,97.56247709,69.37539353
2750.09,97.37300692,67.39926104
2755.04,97.13840507,65.75014629
2759.99,96.92596242,63.9016778
2764.93,96.91529165,61.91701936
2770.1,96.80716972,59.80827795
2775.04,96.75838212,57.8944499
2779.98,96.46068228,56.34412331
2784.92,96.13600372,54.26050271
2790.09,95.98231397,52.2146633
2795.03,95.75903838,50.51628223
2799.98,95.48168203,48.94274853
2804.93,95.31685975,47.58807923
2810.11,94.65167453,46.01504904
2815.07,94.22427566,45.06219166
2820.03,93.68655517,44.07204657
2825,93.12012446,43.28890112
2829.98,92.52947565,42.65733119
2834.96,91.79638345,42.2412853
2839.95,90.85819655,42.24926178
2844.94,90.06860421,41.94617462
2849.94,88.67407963,42.1944638
2854.94,87.5926146,42.58384326
2859.94,86.03067595,42.39721236
2864.94,84.44253858,43.10190101
2869.94,82.61944978,43.19503764
2874.94,80.46893,43.96972236
2879.94,78.20925999,44.23537466
2884.94,75.88858967,44.56373372
2889.93,73.16917881,45.05818318
2894.91,70.49216945,45.63756881
2899.89,67.72516544,45.98903147
2905.1,64.87881518,46.428484
2910.06,62.23294784,46.96555252
2915.03,59.83309233,47.31733096
2919.98,57.68370293,47.52515493
2924.93,55.61650899,47.84807529
2930.1,54.01937999,48.06391008
2935.04,52.681185,48.20526786
2939.97,51.62020422,48.48453241
2944.9,50.70019586,48.34911412
2950.05,50.20218707,48.73038682
2954.98,49.49552997,48.88064688
2959.9,49.34469082,49.03875885
2965.05,49.17969835,48.93612302
2969.98,49.23452274,48.99301174
2974.9,48.98230483,48.89665171
2980.06,48.95825149,48.98906394
2984.99,48.86420402,48.89480109
2989.93,48.86476452,49.08638024
2995.1,48.72262624,48.56045026
3000.05,48.6802645,48.88101678
3005.01,48.55304361,48.69946839
3009.97,48.4590944,48.80092248
3014.94,48.41693487,48.88506866
3019.91,48.28858475,48.73032825
3025.11,48.31338163,48.91178825
3030.09,48.41626431,48.70308177
3035.07,48.40913693,48.93348158
3040.06,48.60557108,49.09969021
3045.04,48.96272442,48.98104629
3050.03,49.30913271,49.20424567
3055.01,49.85088028,49.03535992
3060,50.47651113,49.16862015
3064.98,51.0064685,49.29765712
3069.95,52.04365263,49.32892963
3074.92,53.04127415,49.72791667
3079.89,54.0028695,49.57177661
3085.07,55.1371067,49.84258534
3090.03,56.24334689,50.26660669
3094.97,57.56719371,50.1869084
3099.92,58.90215806,50.41038341
3105.07,60.34180275,50.39701993
3110,61.79013204,50.84813862
3114.92,63.11637777,50.99748373
3120.07,64.39588921,51.36146216
3124.98,65.79420716,51.15864773
3130.11,67.06460226,51.61391219
3135.02,68.24735023,51.53162722
3139.93,69.57691505,51.9074521
3145.06,70.74164133,51.945241
3149.97,71.82658897,51.99926169
3155.11,72.7377174,52.08356895
3160.02,73.78216912,52.11435293
3164.94,74.39711041,51.98309895
3170.09,75.29272696,52.1462083
3175.01,76.11295855,52.22263572
3179.95,77.0364201,52.19310338
3185.11,77.65363283,52.16770822
3190.06,78.1319668,52.02591103
3195.01,78.87724183,52.00895844
3199.96,79.3675532,51.88279674
3204.92,79.62047735,51.81816762
3210.11,80.15218369,51.63804532
3215.08,80.53714911,51.44780318
3220.05,80.97501527,51.27809744
3225.02,81.22147428,51.17270999
3229.98,81.49621641,50.79365164
3234.95,81.74124262,50.46262972
3239.92,82.2844338,50.12840965
3245.11,82.57191382,49.62765296
3250.07,82.41912322,49.30965459
3255.02,82.50633776,49.0550259
3259.97,83.07400199,48.66166986
3264.91,82.91055582,47.9156004
3270.07,83.08105363,47.74681578
3275,83.01060895,46.85201287
3279.92,83.38663393,46.36028896
3285.06,82.93107134,45.57780819
3289.97,82.86497877,44.93562841
3295.1,83.15860814,44.29623607
3300,82.8129267,43.58996391
3304.9,82.95044176,42.5555856
3310.01,82.41623296,41.86070576
3314.91,82.56368591,41.17631264
3320.02,82.34693343,40.30905169
3324.91,82.06232324,39.21910939
3330.02,81.8176245,38.62252483
3334.92,81.59505489,37.58462573
3340.04,81.61566351,36.42132011
3344.94,81.08551447,35.27810998
3350.07,80.53768066,34.30844357
3354.98,80.28638407,33.25636833
3359.9,79.96917532,32.19481302
3365.05,79.79632416,31.11229931
3369.98,79.23172053,29.91942162
3374.91,78.3920486,28.9045963
3380.07,78.14404658,27.49166944
3385.02,77.40403897,26.50063557
3389.96,76.94135415,25.22852366
3394.91,75.79954569,24.00651635
3400.09,75.45935399,22.85382845
3405.04,74.62440925,21.67340989
3409.99,73.86788922,20.65546711
3414.94,73.06320697,19.51385651
3420.11,72.21602584,18.29124409
3425.06,71.08980187,17.24690768
3430,70.08887335,16.26230616
3434.93,68.87455355,15.20793243
3440.09,67.48940087,14.18186776
3445.01,66.52326749,13.07360726
3449.93,65.32086565,12.08315874
3455.06,64.08944091,11.30993471
3459.96,62.78454953,10.24946423
3465.08,61.20730896,9.429703267
3469.97,59.63700805,8.664597907
3475.08,57.990681,8.028429911
3479.96,56.0905508,7.312066987
3485.06,54.7298383,6.640160457
3489.94,52.53715226,6.083593601
3495.03,50.97235554,5.592171704
3499.9,48.6653461,5.013838086
3505,46.78063946,4.785958851
3510.1,44.8694826,4.2000243
3514.97,42.68702955,3.941382139
3520.08,40.49386732,3.596668959
3524.96,38.42020595,3.556330797
3530.07,36.18759128,3.22920658
3534.97,33.98030866,3.369057492
3540.09,31.82464338,3.336319157
3545,29.80632616,3.236425591
3549.91,27.64948635,3.434196508
3555.05,25.5070079,3.336584885
3559.97,23.69495539,3.367259741
3564.9,21.51779558,3.750428744
3570.05,19.68433438,3.67956676
3574.98,17.94471286,3.896155828
3579.91,16.39441465,4.152881733
3585.07,14.9985187,4.529924635
3590,13.67989697,4.706096676
3594.93,12.40066339,5.060199374
3600.08,11.29813866,5.520541398
3605.01,10.36308101,5.769318722
3609.93,9.560375445,6.219889114
3615.07,8.352110072,6.300772364
3619.98,7.991609112,6.96647241
3625.1,7.521495667,7.257512586
3630,6.775591019,7.812074401
3635.11,6.759998978,8.142720211
3639.99,6.419000894,8.587625313
3645.09,6.280466138,9.105670072
3649.96,6.153938642,9.465155968
3655.04,6.284454474,9.905891588
3659.91,6.407986523,10.55003853
3664.98,6.279436081,10.87899504
3670.06,6.642522167,11.40048775
3674.91,6.780051045,11.55307921
3679.99,7.223439878,12.12977998
3685.06,7.515451416,12.70087303
3689.92,7.854540319,13.18017994
3695,7.828958861,13.69965471
3700.08,8.212341527,14.33782984
3704.95,8.625324408,14.59615056
3710.04,9.19571795,15.10445587
