# Single-layer SiO2 reference single layer on double-side-polished sapphire, same deposition campaign as the components, deposited less than one week before them with no target change or chamber reconditioning in between -- which is the condition that makes the transferability test legitimate. Transmittance relative to the bare substrate at normal incidence, as a fraction. Thickness determined in Volet 1: 1681.7 nm.
Wavelength_nm,Trel
1280.05,1.00924
1284.02,1.01098
1287.98,1.01287
1292.06,1.01478
1296.02,1.01682
1299.98,1.01878
1304.05,1.02111
1308.01,1.02321
1311.97,1.02539
1316.04,1.02764
1320.01,1.02994
1323.97,1.03209
1328.05,1.03456
1332.02,1.03673
1335.99,1.03887
1339.97,1.04089
1344.05,1.04303
1348.03,1.04516
1352,1.04693
1355.97,1.04856
1360.05,1.05035
1364.02,1.05217
1367.98,1.05328
1372.05,1.05483
1376.01,1.05641
1379.96,1.05779
1384.02,1.05847
1387.97,1.05914
1392.03,1.05999
1395.98,1.06062
1400.04,1.06117
1403.99,1.06132
1407.95,1.06159
1412.01,1.0615
1415.97,1.06161
1420.04,1.06128
1424,1.06094
1427.96,1.06038
1432.04,1.05981
1436,1.05934
1439.97,1.05841
1444.04,1.05764
1448,1.05677
1451.96,1.05558
1456.02,1.05445
1459.97,1.05329
1463.98,1.05238
1468,1.051
1472.02,1.04965
1476.06,1.04811
1479.99,1.04678
1484.04,1.04537
1488,1.044
1491.97,1.04223
1495.95,1.04071
1500.05,1.0388
1504.04,1.03715
1508.04,1.03523
1512.03,1.03342
1516.02,1.03156
1520,1.02976
1523.97,1.028
1528.03,1.02614
1531.97,1.02446
1536.01,1.02258
1540.04,1.02083
1544.05,1.01925
1548.06,1.01767
1551.95,1.01609
1555.95,1.01448
1559.95,1.0131
1563.96,1.01172
1567.98,1.01038
1572.02,1.00903
1575.95,1.0078
1580.01,1.00673
1583.97,1.00572
1588.05,1.00456
1592.03,1.00372
1596.01,1.00279
1599.99,1.00202
1603.96,1.00125
1608.04,1.00067
1612,1.00009
1615.95,0.999494
1619.99,0.999089
1624.02,0.998645
1628.04,0.998448
1632.04,0.998146
1636.03,0.998065
1640.02,0.997946
1644,0.997833
1647.99,0.997943
1651.98,0.998009
1655.98,0.998243
1659.99,0.998549
1664.02,0.9986
1667.95,0.99895
1672,0.999368
1675.95,0.999764
1680.02,1.00033
1683.98,1.00088
1688.06,1.00146
1692.02,1.00216
1695.97,1.00267
1700.03,1.00349
1703.97,1.00425
1708,1.0051
1712.02,1.00595
1716.03,1.00675
1720.02,1.00763
1724,1.00848
1727.97,1.00953
1732.05,1.01058
1736.02,1.01165
1739.99,1.01272
1743.97,1.01383
1747.96,1.01479
1751.97,1.01595
1755.99,1.01712
1760.02,1.01825
1763.95,1.01934
1768,1.02057
1772.06,1.02169
1776,1.02287
1779.95,1.02403
1784.01,1.02518
1788.05,1.02636
1791.98,1.0276
1796,1.02873
