# Seventeen-layer 50/50 beam splitter, run 260317-035, on double-side polished silicon. Reflectance at 45 degrees in s and p. R_a is the half-sum, which is what an unpolarized measurement returns and what this study inverts; it is rigorously invariant under a symmetric mixing of the two channels.
Wavelength_nm,R_s_pct,R_p_pct,R_a_pct
1990.02,93.67535521,50.11159613,71.89347567
1995.03,94.98932901,57.66901088,76.32916994
2000.04,96.09304019,64.75976593,80.42640306
2005.05,96.69856221,70.31672897,83.50764559
2009.96,97.19507744,74.69716543,85.94612143
2015,97.54206002,78.11049679,87.82627841
2019.95,97.78634012,80.87590729,89.33112371
2025.03,98.00603162,83.18460105,90.59531633
2030.02,98.17808633,84.8974441,91.53776521
2035.02,98.28081969,86.29371212,92.2872659
2040.03,98.41403009,87.47740998,92.94572003
2045.04,98.49650362,88.37334479,93.43492421
2050.05,98.53540657,89.06685242,93.8011295
2055.04,98.57481716,89.66376979,94.11929347
2060.01,98.60569748,90.08732092,94.3465092
2064.96,98.60974683,90.38821995,94.49898339
2069.99,98.57994019,90.63866429,94.60930224
2075.01,98.59586247,90.75113956,94.67350101
2080,98.53684639,90.78238324,94.65961481
2084.99,98.46916987,90.72911307,94.59914147
2089.98,98.44030499,90.57259985,94.50645242
2094.97,98.27817844,90.30363704,94.29090774
2099.97,98.1443425,89.94739905,94.04587078
2105,97.96629548,89.45843832,93.7123669
2110.04,97.69799928,88.83851894,93.26825911
2115,97.3667366,88.03350205,92.70011933
2119.97,96.91020529,87.09357995,92.00189262
2124.95,96.22406929,85.8777001,91.05088469
2129.95,95.24690291,84.36144224,89.80417257
2135.04,93.68515778,82.57809937,88.13162858
2140.02,91.20495734,80.248988,85.72697267
2144.98,87.38540901,77.56027707,82.47284304
2150.03,82.70544536,74.34978701,78.52761618
2154.95,78.68983278,70.6,74.64491639
2159.95,76.61927316,66.88968568,71.75447942
2165.04,76.79892413,62.75972996,69.77932704
2170.01,79.30059263,59.50479514,69.40269389
2174.97,83.41196865,57.3533037,70.38263618
2180.05,88.22397545,56.64905433,72.43651489
2185.02,91.87480415,57.72175663,74.79828039
2190.01,94.22350783,60.39714172,77.31032478
2195.02,95.78982739,64.07348728,79.93165733
2199.95,96.71747323,68.12540945,82.42144134
2205,97.38429951,72.50544565,84.94487258
2209.96,97.84029691,76.03446601,86.93738146
2215.03,98.1657677,79.53885712,88.85231241
2220,98.41977036,82.14507261,90.28242148
2224.96,98.58642606,84.47,91.52821303
2230.02,98.74857395,86.34101572,92.54479484
2234.95,98.84715154,87.81,93.32857577
2239.96,98.94430934,89.12965783,94.03698359
2244.95,99.01503543,90.07134102,94.54318822
2250.03,99.08262943,90.96270354,95.02266648
2254.98,99.1495748,91.60733912,95.37845696
2260.03,99.16740262,92.21191228,95.68965745
2264.97,99.23752275,92.69118034,95.96435154
2270.02,99.22671979,93.0747442,96.150732
2274.98,99.26203868,93.4170654,96.33955204
2279.96,99.25484903,93.62862052,96.44173477
2284.96,99.29095199,93.85913687,96.57504443
2289.98,99.30017664,94.00613974,96.65315819
2295.02,99.30981766,94.16096136,96.73538951
2299.96,99.30718476,94.21337609,96.76028043
2305.02,99.31184656,94.28398292,96.79791474
2309.96,99.29817037,94.2843775,96.79127394
2315,99.29306508,94.29280966,96.79293737
2320.02,99.27647973,94.23600856,96.75624415
2325.02,99.25837123,94.1783858,96.71837852
2330,99.26167358,94.0739184,96.66779599
2334.95,99.22073292,93.93611032,96.57842162
2339.99,99.23010666,93.74686922,96.48848794
2345.02,99.14820079,93.53228042,96.3402406
2350.04,99.13332359,93.29549377,96.21440868
2354.96,99.05783363,93.01758204,96.03770784
2360,99.05761665,92.68495732,95.87128699
2364.95,98.93797896,92.30496829,95.62147363
2370.03,98.84354827,91.84073507,95.34214167
2375.02,98.74103351,91.32427342,95.03265347
2380.03,98.6422033,90.75996631,94.70108481
2385.05,98.45856601,90.12929965,94.29393283
2389.97,98.25289189,89.36812264,93.81050726
2395.01,97.99250632,88.61361594,93.30306113
2400.03,97.69267347,87.70490978,92.69879162
2405.03,97.23648279,86.72987272,91.98317776
2410.02,96.78304058,85.6837108,91.23337569
2414.97,96.16808822,84.6345533,90.40132076
2420.02,95.4330727,83.47696333,89.45501801
2425.04,94.62373165,82.41776762,88.52074964
2430.04,93.85758606,81.32055187,87.58906897
2435.04,93.2081818,80.36042412,86.78430296
2440.04,92.85909773,79.56424157,86.21166965
2445.05,92.7854072,78.96522661,85.8753169
2450.01,92.99669464,78.68095872,85.83882668
2455.01,93.41431054,78.52054782,85.96742918
2460,94.02942895,78.62938626,86.3294076
2465,94.70992177,78.92254671,86.81623424
2470.01,95.4424802,79.42303006,87.43275513
2475.03,96.08870451,80.08748906,88.08809679
2480.04,96.64207407,80.85664606,88.74936007
2485.06,97.14483511,81.72747969,89.4361574
2490.09,97.489004,82.62135378,90.05517889
2494.89,97.7682223,83.48658743,90.62740486
2499.92,98.01937626,84.38784838,91.20361232
2504.95,98.24919801,85.18841451,91.71880626
2509.98,98.36583931,85.98646735,92.17615333
2515.01,98.51351168,86.60295874,92.55823521
2520.03,98.61909532,87.27919504,92.94914518
2525.05,98.70882815,87.90944252,93.30913534
2530.07,99.03762289,88.52585393,93.78173841
2535.08,99.14694412,89.01124932,94.07909672
2540.09,99.36113377,89.34489529,94.35301453
2545.09,99.55138924,89.55021064,94.55079994
