# Single-layer Nb2O5 witness on double-side polished sapphire, same deposition campaign as the components, less than one week apart, no target change or chamber reconditioning in between. Transmittance relative to the bare substrate at normal incidence, as a fraction. Reproduced from the Volet 1 deposit.
Wavelength_nm,Trel
580.51,0.971024
581.03,0.964262
581.49,0.958422
582,0.950706
582.52,0.943612
583.03,0.935005
583.49,0.928279
584,0.919888
584.51,0.911857
585.02,0.903628
585.48,0.896494
585.99,0.888849
586.5,0.88106
587.01,0.873855
587.52,0.866748
587.98,0.860605
588.49,0.853816
589,0.847877
589.51,0.841865
590.02,0.837021
590.52,0.832057
590.98,0.82868
591.49,0.824618
591.99,0.820968
592.5,0.818147
593.01,0.815945
593.52,0.813925
594.02,0.811765
594.53,0.810858
594.98,0.810398
595.49,0.810336
596,0.81087
596.5,0.811813
597.01,0.812892
597.52,0.815044
598.02,0.817087
598.53,0.819904
598.98,0.822989
599.49,0.826553
600,0.836273
601.01,0.84672
602.03,0.858423
602.99,0.870678
604.01,0.884208
605.03,0.898591
605.99,0.912392
607.01,0.926743
607.98,0.940136
609,0.953367
610.03,0.965823
611,0.97601
612.03,0.985006
613,0.991648
614.03,0.996455
615,0.998563
615.98,0.998435
617.01,0.995786
617.98,0.991284
619.02,0.984008
619.99,0.975682
621.02,0.965158
622,0.95416
623.03,0.941719
624,0.929017
625.03,0.915647
626,0.9028
627.03,0.889375
628,0.877604
629.02,0.865902
629.99,0.855454
631.01,0.84584
631.98,0.837746
632.99,0.830353
634.01,0.824572
635.03,0.820125
635.99,0.817336
637,0.815445
638.01,0.815119
639.03,0.81614
639.98,0.818299
640.99,0.821873
642,0.826875
643.02,0.833085
644.03,0.840345
644.98,0.848235
645.99,0.858066
647.01,0.867907
648.02,0.8791
648.98,0.889577
650,0.901449
651.01,0.91348
652.03,0.925353
652.99,0.936691
654.02,0.947963
654.98,0.957999
656,0.968228
657.03,0.977076
658,0.984105
659.03,0.990378
660,0.994777
661.02,0.997561
662,0.99869
663.03,0.998242
664,0.996173
665.03,0.992381
666,0.987416
667.03,0.980849
668,0.973406
669.03,0.964514
670,0.955368
671.02,0.94471
671.99,0.934532
673.02,0.923399
673.98,0.912585
675,0.901581
676.02,0.890946
676.98,0.881387
678,0.871748
679.01,0.86278
680.03,0.854437
680.98,0.847179
681.99,0.840663
683.01,0.834818
684.01,0.829737
685.02,0.825636
685.98,0.822649
686.98,0.82053
687.99,0.819399
689,0.819123
690.01,0.819845
691.02,0.821734
692.03,0.82426
692.98,0.8273
693.99,0.831787
695.01,0.83692
696.02,0.843073
696.98,0.849304
698,0.856718
699.01,0.864578
699.98,0.872945
701,0.881852
702.02,0.891263
702.98,0.900454
704.01,0.910537
704.98,0.919843
706,0.929799
707.03,0.939154
708,0.947851
709.02,0.956906
709.99,0.964665
711.02,0.972355
711.99,0.979202
713.01,0.985135
713.98,0.989994
715,0.993914
716.03,0.996939
716.99,0.998352
718.01,0.998813
718.98,0.998209
719.99,0.996418
721.01,0.993388
722.03,0.989494
722.98,0.984937
724,0.97925
725.01,0.972883
726.02,0.965436
727.02,0.957831
727.98,0.950025
728.98,0.941545
729.99,0.932707
730.99,0.923871
732,0.914706
733,0.906314
734.01,0.8975
735.01,0.889068
736.02,0.881004
737.03,0.873324
737.98,0.866453
738.99,0.85952
740,0.853019
741.01,0.84739
742.02,0.84204
742.98,0.837661
743.99,0.833635
745.01,0.830047
746.02,0.827441
746.98,0.825108
748,0.823834
749.02,0.822937
749.99,0.822817
751.01,0.823127
751.98,0.82411
753,0.825897
754.02,0.828318
754.99,0.831031
756.01,0.834509
756.98,0.838368
758,0.842813
759.02,0.848124
759.99,0.853372
761.01,0.8597
762.02,0.866062
762.99,0.872589
764,0.879675
765.02,0.887128
766.03,0.894626
766.99,0.901913
768,0.909639
769.01,0.91768
770.01,0.925555
771.02,0.933419
772.03,0.94098
773.03,0.948641
773.98,0.955241
774.98,0.962078
775.98,0.968564
776.98,0.974595
777.99,0.979935
778.99,0.98451
779.99,0.988674
780.99,0.99203
782,0.994857
783,0.996799
784,0.998111
785.01,0.99863
786.02,0.998225
787.03,0.997311
787.98,0.995659
788.99,0.993004
790,0.990109
791.02,0.986469
791.98,0.982062
792.99,0.977365
794.01,0.971951
795.03,0.966255
795.99,0.960384
797.01,0.953833
798.03,0.947405
798.99,0.940689
800.01,0.933538
801.03,0.926523
801.99,0.919419
803.01,0.912333
804.03,0.905063
804.99,0.898392
806.01,0.891818
807.02,0.885184
807.98,0.879012
808.99,0.872992
810,0.867111
811.01,0.861797
812.02,0.856733
813.03,0.851879
813.98,0.84778
814.98,0.843675
815.99,0.84
816.99,0.836849
817.99,0.833974
818.99,0.831759
819.99,0.829763
820.99,0.828044
821.99,0.826979
822.98,0.826247
823.98,0.825899
824.98,0.825947
825.98,0.826745
826.98,0.827377
827.98,0.828907
828.98,0.830565
829.99,0.832853
830.99,0.835311
831.99,0.838366
833,0.841448
834.01,0.845172
835.02,0.849164
836.03,0.853194
836.98,0.857581
838,0.86232
839.01,0.867557
840.02,0.872806
840.98,0.87795
842,0.883673
843.01,0.889543
844.03,0.89567
844.99,0.901653
846.01,0.907715
847.02,0.914161
847.98,0.92019
849,0.926569
850.01,0.93291
851.02,0.939142
851.98,0.94458
852.99,0.95039
854,0.956045
855.01,0.961692
856.01,0.966779
857.02,0.971898
858.02,0.976479
859.02,0.980609
860.02,0.984658
861.02,0.987859
862.02,0.990832
863.01,0.99346
864.01,0.995448
865.01,0.997191
866,0.998419
867,0.998907
867.99,0.99908
868.99,0.998791
869.98,0.998119
870.98,0.99686
872.03,0.995033
873.03,0.99301
874.02,0.990256
875.02,0.987384
876.02,0.98387
877.03,0.980242
878.03,0.97624
878.98,0.972181
879.98,0.967419
880.99,0.962666
882,0.957884
883.01,0.952738
884.02,0.947394
885.03,0.942039
885.99,0.9369
887,0.931154
888.01,0.925456
889.02,0.919872
889.98,0.91466
890.99,0.908858
892,0.903486
893.02,0.898001
894.03,0.892806
894.98,0.887936
895.99,0.882846
897,0.87824
898,0.873495
899.01,0.869135
900.01,0.864942
901.01,0.860774
902.01,0.85697
903.01,0.853202
904.01,0.849898
905,0.846845
906,0.844007
906.99,0.8414
907.99,0.839063
908.98,0.836901
910.02,0.834938
911.02,0.833378
912.01,0.832215
913,0.831061
913.99,0.830342
914.98,0.829788
916.03,0.829597
917.02,0.829575
918.01,0.829787
919.01,0.830334
920.01,0.831034
921,0.832228
922,0.833445
923,0.834819
924,0.83665
925.01,0.838707
926.01,0.840809
927.01,0.843358
928.02,0.845969
929.03,0.848998
929.98,0.85189
930.99,0.855102
932,0.858461
933.01,0.862241
934.01,0.866021
935.02,0.869981
935.98,0.874054
936.98,0.878112
937.99,0.88267
939,0.886907
940,0.891704
941.01,0.896281
942.01,0.900953
943.01,0.905774
944.01,0.91061
945.01,0.915692
946.01,0.920435
947,0.925177
948,0.930157
948.99,0.934846
949.98,0.939576
951.02,0.944472
952.01,0.948863
953,0.953398
953.99,0.957614
954.98,0.961781
956.02,0.966116
957.01,0.969968
957.99,0.973731
958.98,0.976962
960.02,0.980568
961.01,0.983423
962,0.986246
962.99,0.988812
963.99,0.990988
964.98,0.993008
966.03,0.994787
967.02,0.996269
968.02,0.997559
969.02,0.998405
970.02,0.99903
971.02,0.999424
972.02,0.999385
973.02,0.99913
974.03,0.998391
975.03,0.997468
975.98,0.996396
976.98,0.995134
977.99,0.993499
978.99,0.991431
980,0.989342
981,0.987107
982.01,0.984524
983.01,0.981543
984.01,0.978458
985.01,0.975343
986.01,0.971817
987.01,0.968446
988,0.964638
989,0.960864
989.99,0.95709
990.98,0.950918
992.01,0.946977
993.04,0.94218
993.95,0.938439
994.98,0.934077
996.01,0.929729
997.04,0.925233
997.96,0.92129
998.99,0.917056
1000.02,0.912622
1001.05,0.908237
1001.96,0.90466
1002.99,0.90044
1004.02,0.896413
1005.05,0.892242
1005.96,0.888708
1006.99,0.8847
1008.02,0.881121
1009.05,0.877422
1009.96,0.874396
1010.99,0.87081
1012.01,0.867631
1013.04,0.86439
1013.95,0.861588
1014.98,0.858805
1016.01,0.855927
1017.03,0.853319
1017.95,0.85095
1018.97,0.848471
1020,0.846425
1021.02,0.844251
1022.05,0.842334
1022.96,0.840648
1023.99,0.839113
1025.01,0.837658
1026.04,0.836486
1026.95,0.835122
1027.98,0.834372
1029,0.833533
1030.03,0.832897
1031.05,0.832408
1031.96,0.831861
1032.99,0.831774
1034.01,0.831909
1035.04,0.831978
1035.95,0.832317
1036.98,0.832871
1038,0.833378
1039.03,0.834173
1040.06,0.835181
1040.97,0.836077
1041.99,0.837254
1043.02,0.838718
1044.05,0.840231
1044.96,0.841646
1045.99,0.843475
1047.01,0.845338
1048.04,0.847324
1048.96,0.849256
1049.98,0.851679
1051.01,0.853947
1052.04,0.856683
1052.95,0.859152
1053.98,0.861884
1055.01,0.864573
1056.04,0.867685
1056.95,0.870405
1057.98,0.873614
1059.01,0.877037
1060.04,0.880342
1060.95,0.883176
1061.98,0.886692
1063.01,0.890283
1064.04,0.893847
1064.95,0.897169
1065.98,0.900912
1067.01,0.904594
1068.04,0.908358
1068.96,0.911694
1069.99,0.915248
1071.02,0.919087
1072.05,0.922678
1072.96,0.926266
1073.99,0.930149
1075.02,0.933693
1076.05,0.937573
1076.96,0.940904
1077.99,0.94448
1079.02,0.9481
1080.05,0.951647
1080.96,0.954747
1081.99,0.958026
1083.02,0.96124
1084.05,0.964754
1084.96,0.967366
1085.99,0.970283
1087.02,0.973152
1088.05,0.975796
1088.96,0.978191
1089.99,0.980581
1091.01,0.983024
1092.04,0.985265
1092.95,0.986982
1093.98,0.989003
1095.01,0.990757
1096.03,0.992229
1097.06,0.993675
1097.97,0.994892
1099,0.995802
1100.02,0.996791
1101.05,0.997304
1101.96,0.997985
1102.98,0.998666
1104.01,0.998796
1105.03,0.998787
1106.05,0.998877
1106.96,0.99832
1107.99,0.998093
1109.01,0.997662
1110.04,0.996965
1110.95,0.995961
1111.97,0.994908
1112.99,0.993811
1114.02,0.992569
1115.04,0.990715
1115.95,0.989294
1116.97,0.987536
1117.99,0.985532
1119.02,0.983473
1120.04,0.981438
1120.95,0.979204
1121.97,0.976914
1123,0.974482
1124.02,0.971848
1125.04,0.969144
1125.95,0.966775
1126.97,0.963876
1128,0.961154
1129.02,0.957948
1130.05,0.955145
1130.95,0.952319
1131.98,0.949198
1133,0.946071
1134.03,0.942781
1135.05,0.939599
1135.96,0.936744
1136.99,0.933421
1138.01,0.930041
1139.03,0.926825
1139.95,0.923947
1140.97,0.920638
1142,0.917484
1143.02,0.913907
1144.05,0.910776
1144.96,0.907847
1145.98,0.904728
1147.01,0.90152
1148.04,0.898424
1148.95,0.89563
1149.97,0.892663
1151,0.889797
1152.03,0.886817
1153.05,0.883857
1153.97,0.881292
1154.99,0.878706
1156.02,0.876008
1157.05,0.87341
1157.96,0.871163
1158.99,0.868622
1160.01,0.866262
1161.04,0.863885
1161.95,0.861857
1162.98,0.859653
1164.01,0.857561
1165.03,0.855718
1165.95,0.853911
1166.97,0.851967
1168,0.850296
1169.03,0.848525
1170.05,0.846702
1170.96,0.84569
1171.99,0.844372
1173.02,0.842966
1174.04,0.841606
1174.95,0.840605
1175.98,0.83964
1177.01,0.838559
1178.03,0.837899
1179.06,0.836912
1179.97,0.836312
1180.99,0.83596
1182.02,0.835214
1183.04,0.83488
1183.95,0.834648
1184.97,0.834491
1186,0.834351
1187.02,0.834115
1188.05,0.83402
1188.95,0.834318
1189.98,0.834286
1191,0.834644
1192.02,0.835052
1193.95,0.835848
1194.98,0.836786
1196,0.837191
1197.02,0.838204
1198.04,0.838991
1198.95,0.839857
1199.97,0.840968
1199.97,0.83893
1209.95,0.851675
1220.04,0.871024
1230.03,0.894942
1240.03,0.921755
1250.05,0.948254
1259.95,0.97114
1269.95,0.988425
1280.05,0.997632
1290.02,0.998122
1299.98,0.990086
1310.04,0.975048
1320.01,0.955214
1329.98,0.932668
1339.97,0.909834
1349.96,0.888462
1360.05,0.869493
1370.01,0.854591
1379.96,0.844596
1390,0.837754
1400.04,0.835939
1409.98,0.83835
1420.04,0.845052
1430,0.85535
1439.97,0.868944
1450.03,0.885069
1459.97,0.90252
1470.01,0.923066
1479.99,0.941499
1490.04,0.958904
1500.05,0.973912
1509.98,0.985749
1520,0.994205
1529.95,0.998451
1540.04,0.998447
1549.95,0.9943
1559.95,0.986454
1570,0.975509
1580.01,0.962315
1589.98,0.947783
1599.99,0.932519
1609.97,0.916909
1619.99,0.901837
1630.04,0.887722
1640.02,0.87494
1649.98,0.863843
1659.99,0.854682
1669.97,0.847414
1680.02,0.842223
1689.98,0.838974
1700.03,0.837787
1710.01,0.838562
1720.02,0.841142
1729.95,0.845628
1739.99,0.851731
1749.96,0.859386
1760.02,0.868381
1770.03,0.878354
1779.95,0.889157
1789.96,0.90083
1800.01,0.912741
1809.96,0.924959
1819.96,0.937533
1829.96,0.948268
1840.01,0.960192
1850.03,0.969893
1860,0.978839
1870,0.986223
1879.96,0.991786
1889.95,0.995821
1899.97,0.998235
1910.03,0.998615
1919.99,0.997857
1930.01,0.99471
1939.99,0.990553
1950.04,0.985059
1960,0.978085
1970.02,0.970188
1979.95,0.961943
1990.02,0.952383
2000.04,0.942582
2009.96,0.932769
2019.95,0.92305
2030.02,0.913393
2040.03,0.90425
2050.05,0.895463
2060.01,0.886779
2069.99,0.878961
2080,0.871564
2089.98,0.864987
2099.97,0.859049
2110.04,0.853888
2119.97,0.849536
2129.95,0.845942
2140.02,0.843063
2150.03,0.840996
2159.95,0.839752
2170.01,0.839169
2180.05,0.839419
2190.01,0.840271
2199.95,0.841908
2209.96,0.844147
2220,0.84695
2230.02,0.850525
2239.96,0.854468
2250.03,0.858872
2260.03,0.864226
2270.02,0.869795
2279.96,0.875721
2289.98,0.881912
2299.96,0.88852
2309.96,0.895092
2320.02,0.90176
2330,0.908852
2339.99,0.916436
2350.04,0.923341
2360,0.930392
2370.03,0.937887
2380.03,0.944324
2389.97,0.950766
2400.03,0.95782
2410.02,0.963305
2420.02,0.9689
2430.04,0.974669
2440.04,0.979507
2450.01,0.984192
2460,0.988138
2470.01,0.991411
2480.04,0.993961
2490.09,0.996044
2499.92,0.997525
2509.98,0.9987
2520.03,0.99891
2530.07,0.999819
2540.09,0.996335
2550.09,0.998667
2560.06,0.995959
2570.01,0.989719
2579.93,0.990676
2590.07,0.985924
2599.98,0.986093
2610.11,0.977956
2620.03,0.973574
2629.97,0.970103
2639.93,0.967169
2649.91,0.96249
2659.91,0.961434
2669.93,0.948075
2679.95,0.949096
2689.99,0.940667
2700.01,0.934175
2710.03,0.930513
2720.02,0.920996
2730,0.91882
2739.94,0.910033
2750.09,0.907722
2759.99,0.902366
